title,author,tag,series,isbn
Colosseum : sangre en la arena ,"Sarasso, Simone",N Sar,Internacional (Planeta),9788408128144
Un Incident sense importància ,"Sardà, Rosa Maria, 1941-2020",N Sar,El Balancí   814,9788429778014
Ensayo sobre la lucidez ,"Saramago, José, 1922-2010",N Sar,Biblioteca José Saramago,8420401706
El Hombre duplicado ,"Saramago, José, 1922-2010",N Sar,Punto de lectura (Punto de Lectura)   3/14,9788466313100
La Caverna ,"Saramago, José, 1922-2010",N Sar,,8420400386
Días sin ti ,"Sastre, Elvira",N Sas,Biblioteca breve (Seix Barral),9788432234958
La Hermandad de la Buena Suerte ,"Savater, Fernando",N Sav,Autores españoles e iberoamericanos (Planeta),9788408083689
Firmin : aventuras de una alimaña urbana ,"Savage, Sam, 1940-2019",N Sav,Biblioteca Formentor,9788432228247
Petó ferotge ,"Saviano, Roberto",N Sav,Llibres Anagrama   70,9788433915818
Mindscan ,"Sawyer, Robert J.",N Saw,Nova ciencia ficción (Ediciones B)   197,9788466630795
Vuelta atrás ,"Sawyer, Robert J.",N Saw,Nova (Ediciones B)   214,9788466637817
El Misterio del Bellona Club ,"Sayers, Dorothy L., 1893-1957",N Say,Biblioteca Dorothy L. Sayers,8426415121
La Legión ,"Scarrow, Simon",N Sca,Narrativas (Edhasa),9788435062473
El Final de todas las cosas ,"Scalzi, John",N Sca,Ciencia ficción (Minotauro),9788445005255
El Lector ,"Schlink, Bernhard",N Sch,La Via Làctia (Estrella Polar),9788492790395
Ver a una mujer ,"Schwarzenbach, Annemarie, 1908-1942",N Sch,Paisajes narrados   38,9788495587626
El Lado oscuro ,"Schätzing, Frank",N Sch,,9788408084402
Kentukis ,"Schweblin, Samanta",N Sch,,9788439734895
Crims ,"Schirach, Ferdinand von",N Sch,Narrativa (Empúries)   394,9788497877329
No tornarà a passar ,"Schilperoord, Inge",N Sch,,9788416673469
Els Homes ,"Schrobsdorff, Angelika, 1927-2016",N Sch,La Campana (La Campana)   396,9788416863433
Els Supervivents ,"Schulman, Alex",N Sch,Col·lecció Clàssica   1345,9788466428668
El Lado oscuro del amor ,"Schami, Rafik",N Sch,Letras de bolsillo (Salamandra)   175,9788498385199
"Tannöd, el lloc del crim ","Schenkel, Andrea Maria",N Sch,A tot vent   477,9788484371281
Colors de comiat ,"Schlink, Bernhard",N Sch,,9788418375262
Tu no ets una mare com les altres : la història d'una dona apassionada ,"Schrobsdorff, Angelika, 1927-2016",N Sch,La Campana (La Campana)   385,9788416863044
Tabú ,"Schirach, Ferdinand von",N Sch,,9788498387599
Lesabéndio : una novela de asteroides ,"Scheerbart, Paul",N Sch,Cardinales (Traspiés),9788494253447
Límite ,"Schätzing, Frank",N Sch,,9788408096696
El Quinto día ,"Schätzing, Frank",N Sch,Booket,9788408096252
"M, el hombre de la providencia ","Scurati, Antonio",N Scu,Narrativa internacional,9788420456010
"M, el hijo del siglo ","Scurati, Antonio",N Scu,Narrativa internacional,9788420437941
Els Anells de Saturn : una peregrinació anglesa ,"Sebald, W. G., 1944-2001",N Seb,Biblioteca W.G. Sebald,9788409243075
Des de fa dos mil anys ,"Sebastian, Mihail, 1907-1945",N Seb,Artificium   8,9788417833084
Vestido de domingo ,"Sedaris, David",N Sed,Blackie Books   166,9788418733444
Tota una vida ,"Seethaler, Robert",N See,La Campana (La Campana)   391,9788416863297
El Abanico de seda ,"See, Lisa",N See,,8498380529
El Lector fiel ,"Seeck, Max",N See,Maeva noir,9788418184833
Les Noies de Xangai ,"See, Lisa",N See,El Balancí   638,9788429767094
El Cau del conill ,"Segura, Cristian",N Seg,L'Àncora (Destino)   215,9788497101912
Entre murs ,"Segura i Cloquell, Marta",N Seg,Biblioteca global   14,9788494897689
El Contracte Wong ,"Segura, Montserrat",N Seg,Lo Marraco   336,9788499759494
No se necesita contraseña ,"Semionov, Iulian Semionovich, 1931-1993",N Sem,Sensibles a las letras   82,9788418918117
La Escritura o la vida ,"Semprún, Jorge, 1923-2011",N Sem,Fábula (Tusquets)   61,9788483105184
Réquiem por un campesino español ,"Sender, Ramón J., 1901-1982",N Sen,,9788423342396
La Tesis de Nancy ,"Sender, Ramón J., 1901-1982",N Sen,,9788483431788
Un Viejo que leía novelas de amor ,"Sepúlveda, Luis, 1949-2020",N Sep,Maxi (Tusquets)   13/1,9788483835302
Diez mujeres ,"Serrano, Marcela",N Ser,,9788420407678
Farsa ,"Serra, Màrius",N Ser,Ramon Llull (Planeta). Narrativa   100,849708165X
"¡Ponte, mesita! ","Serre, Anne",N Ser,Panorama de narrativas   852,9788433978820
Jugar-s'hi la vida : amb Oriol Comas i Coma com a personatge ,"Serra, Màrius",N Ser,Amsterdam llibres   178,9788417918071
La Pell de la frontera ,"Serés, Francesc",N Ser,D'un dia a l'altre   42,9788477275619
La Casa de foc ,"Serés, Francesc",N Ser,A Tot Vent   736,9788475888583
La Deriva ,"Serpell, Namwali",N Ser,Biblioteca Formentor,9788432236938
Esperem el millor ,"Setterwall, Carolina",N Set,Narrativa   589,9788418833229
La Nena de dretes que va néixer en una família d'esquerres ,"Seyman, Ingrid",N Sey,La Campana   429,9788418226021
Una Princeseta amb problemes ,"Sharpe, Tom, 1928-2013",N Sha,,8478092374
"Wilt, més que mai ","Sharpe, Tom, 1928-2013",N Sha,,8478090193
Wilt ,"Sharpe, Tom, 1928-2013",N Sha,Columna jove   22,8466404864
El Líder que no tenía cargo : una fábula moderna sobre el liderazgo en la empresa y en la vida ,"Sharma, Robin S.",N Sha,,9788425344428
Els Grope ,"Sharpe, Tom, 1928-2013",N Sha,Clàssica (Columna)   812,9788466410397
El Árbol de la nuez moscada ,"Sharp, Margery, 1905-1991",N Sha,Sensibles a las letras   80,9788418918087
Vida de familia ,"Sharma, Akhil",N Sha,Panorama de narrativas   887,9788433979179
El Quinteto de Nagasaki ,"Shimazaki, Aki",N Shi,,9788426405593
Lluna plena ,"Shimazaki, Aki",N Shi,Narrativa   592,9788418833274
Tenemos que hablar de Kevin ,"Shriver, Lionel",N Shr,Panorama de narrativas   663,9788433974440
Los Mandible : una familia : 2029-2047 ,"Shriver, Lionel",N Shr,Panorama de narrativas   948,9788433979803
La Conjura d'Herat ,"Sierra i Fabra, Jordi",N Sie,,9788417868963
El Ángel perdido ,"Sierra, Javier",N Sie,Booket,9788408007395
El Maestro del Prado y las pinturas proféticas ,"Sierra, Javier",N Sie,,9788408030690
La Conspiració del coltan ,"Sierra i Fabra, Jordi",N Sie,Noir. Sèrie Magda Ventura,9788417868642
Les Paraules ferides ,"Sierra i Fabra, Jordi",N Sie,Amsterdam llibres,9788416743230
Si esto es una mujer ,"Silva, Lorenzo",N Sil,Colección Áncora y Delfín   volumen 1470,9788423355723
Castellano ,"Silva, Lorenzo",N Sil,Áncora y delfín   1535,9788423359561
Recordarán tu nombre ,"Silva, Lorenzo",N Sil,Áncora y Delfín   1400,9788423352340
El Mal de Corcira ,"Silva, Lorenzo",N Sil,Colección Áncora y delfín   volumen 1503,9788423357567
La Marca del meridiano ,"Silva, Lorenzo",N Sil,Autores españoles e iberoamericanos (Planeta),9788408031239
Donde los escorpiones ,"Silva, Lorenzo",N Sil,Áncora y delfín   1371,9788423351039
Maigret duda ,"Simenon, Georges, 1903-1989",N Sim,Anagrama & Acantilado   2,9788433902146
El Caníbal ,"Simó, Isabel-Clara, 1943-2020",N Sim,Clàssica (Columna)   714,9788466407854
El Gust amarg de la cervesa ,"Simó, Isabel-Clara, 1943-2020",N Sim,Columna (Columna)   315,8483007010
La Soledad de Charles Dickens ,"Simmons, Dan",N Sim,Rocabolsillo histórica,9788496940956
Un Tros de cel ,"Simó, Isabel-Clara, 1943-2020",N Sim,L'Eclèctica (Bromera)   209,9788415390497
Hum... Rita! : l'home que ensumava dones ,"Simó, Isabel-Clara, 1943-2020",N Sim,3 i 4   69,8475026427
El Meu germà Pol ,"Simó, Isabel-Clara, 1943-2020",N Sim,L'Eclèctica (Bromera)   146,9788498242652
El Fondo de la botella ,"Simenon, Georges, 1903-1989",N Sim,,9788433902139
La Muerte de Belle ,"Simenon, Georges, 1903-1989",N Sim,Anagrama & Acantilado   4,9788433902160
Prime time : irreverències ,"Simó, Isabel-Clara, 1943-2020",N Sim,Contes i relats,9788417660604
El Teu gust ,"Simó, Isabel-Clara, 1943-2020",N Sim,L'Ecléctica   306,9788490269886
Tres habitaciones en Manhattan ,"Simenon, Georges, 1903-1989. Amie de Madame Maigret. Castellà",N Sim,Anagrama & Acantilado   3,9788433902122
La Caída de Hyperion ,"Simmons, Dan",N Sim,Los Cantos de Hyperion   2,9788466658041
Un Anillo alrededor del sol ,"Simak, Clifford D., 1904-1988",N Sim,Nebulae,8435020851
El Hombre vacío ,"Simmons, Dan",N Sim,Nova ciencia ficción (Ediciones B),9788490701485
Endymion ,"Simmons, Dan",N Sim,Los Cantos de Hyperion   3,9788466658058
Hyperion ,"Simmons, Dan",N Sim,Los Cantos de Hyperion   1,9788466658034
El Ascenso de Endymion ,"Simmons, Dan",N Sim,Los Cantos de Hyperion   4,9788466658065
Un Amic de Kafka i altres contes ,"Singer, Isaac Bashevis, 1904-1991",N Sin,El cercle de Viena   74,9788494978432
Una Família exemplar ,"Sinca, Genís",N Sin,L'Àncora (Destino)   232,9788497102315
Sudor frío ,"Sinti, Mari Carmen",N Sin,Sangre y tinta   8,9788494937293
On el foc no s'apaga ,"Sinclair, May, 1863-1942",N Sin,El Cercle de Viena   27,9788483306406
El Núcleo del Sol ,"Sinisalo, Johanna",N Sin,,9788417541149
Sismes , ,N Sis,,9788412498004
El Coche de bomberos que desapareció ,"Sjöwall, Maj, 1935-2020",N Sjo,Serie negra (RBA)   45,9788498677188
El Hombre del balcón ,"Sjöwall, Maj, 1935-2020",N Sjo,Biblioteca Maj Sjöwall y Per Wahlöö. Martin Beck   3,9788490567104
Los Terroristas ,"Sjöwall, Maj, 1935-2020",N Sjo,Serie Martin Beck   10,9788490567043
El Hombre que se esfumó ,"Sjöwall, Maj, 1935-2020",N Sjo,Serie negra (RBA),9788489662490
El Asesino de policías ,"Sjöwall, Maj, 1935-2020",N Sjo,Serie negra (RBA)   230,9788490063798
El Abominable hombre de Säffle ,"Sjöwall, Maj, 1935-2020",N Sjo,Biblioteca Maj Sjöwall y Per Wahlöö   7,9788490567074
La Habitación cerrada ,"Sjöwall, Maj, 1935-2020",N Sjo,Biblioteca Maj Sjöwall y Per Wahlöö   8,9788490567081
El Policia que riu ,"Sjöwall, Maj, 1935-2020",N Sjo,Clàssica (Columna)   795,9788466410694
Roseanna ,"Sjöwall, Maj, 1935-2020",N Sjo,Serie negra (Martin Beck)   792,9788466410700
El Baile de la Victoria ,"Skármeta, Antonio",N Ska,Autores españoles e iberoamericanos (Planeta),8408050044
El Cartero de Neruda : ardiente paciencia ,"Skármeta, Antonio",N Ska,Contemporánea (Debolsillo),9788497595230
La Biblioteca de París ,"Skeslien Charles, Janet",N Ske,,9788418107931
Torno del bosc amb les mans tenyides ,"krabec, Simona",N Skr,Literatures (L'Avenç),9788416853281
Los Herejes ,"Slater, Humphrey",N Sla,Narrativa (Galaxia Gutenberg)   72,9788481098198
La Buena hija ,"Slaughter, Karin",N Sla,,9788491391654
Canción dulce ,"Slimani, Leïla",N Sli,Cabaret Voltaire   62,9788494443480
"El País dels altres. Primera part, guerra, guerra, guerra ","Slimani, Leïla",N Sli,Narratives   126,9788418197529
El Tiempo de la noche ,"Sloane, William, 1906-1974",N Slo,Clásicos Minotauro,9788445003701
A Grand Central Station em vaig asseure i vaig plorar ,"Smart, Elizabeth",N Sma,El Cercle de Viena   29,9788483306666
Primavera ,"Smith, Ali",N Smi,Col·lecció Raigs globulars   39,9788417925482
El Cazador de autógrafos ,"Smith, Zadie",N Smi,,8478888462
Las Tres estaciones ,"Smith, Martin Cruz",N Smi,B de bolsillo,9788498728132
L'Accidental ,"Smith, Ali",N Smi,Raigs globulars   26,9788416689262
Tiempos de swing ,"Smith, Zadie",N Smi,,9788498388220
Los Reyes del jaco ,"Smith, Vern E.",N Smi,Al margen (Sajalín)   25,9788494236785
Sobre la bellesa ,"Smith, Zadie",N Smi,Les Ales esteses (La Magrana)   204,9788478718060
Hivern ,"Smith, Ali",N Smi,Col·lecció Raigs globulars   37,9788417925321
El Llop ,"Smith, Joseph",N Smi,Amsterdam llibres,9788493660376
Estiu ,"Smith, Ali",N Smi,Col·lecció Raigs globulars   40,9788417925680
Tardor ,"Smith, Ali",N Smi,,9788417925017
Un Árbol crece en Brooklyn ,"Smith, Betty, 1896-1972",N Smi,,9788426416780
El Niño 44 ,"Smith, Tom Rob",N Smi,Black (Salamandra),9788416237050
Clones : [crónicas de un futuro imperfecto] ,"Smith, Michael Marshall",N Smi,Mitos bolsillo (Grijalbo Mondadori),8439702493
Asesinatos en la Academia Brasileña de Letras ,"Soares, Jô",N Soa,Nuevos tiempos (Siruela)   97,9788498410655
Canto jo i la muntanya balla ,"Solà i Sàez, Irene",N Sol,Llibres Anagrama   61,9788433915689
Sacramento ,"Soler, Antonio (Escriptor)",N Sol,Narrativa   277,9788418807169
"Nosaltres, després ","Soler, Sílvia",N Sol,,9788418375217
No tornarem mai més ,"Solsona, Ramon",N Sol,Biblioteca mínima   76,8477272832
Autopista ,"Soldevilla Albertí, Joan Manuel",N Sol,Col·lecció Clàssica   1294,9788466426879
Una Família fora de sèrie ,"Soler, Sílvia",N Sol,Clàssica (Columna)   838,9788466411790
Ulls de gel ,"Solé, Carolina",N Sol,Clàssica (Columna)   972,9788466416030
Disset pianos ,"Solsona, Ramon",N Sol,A tot vent   700,9788475887487
Un Día en la vida de Iván Denísovich ,"Soljenitsin, Aleksandr Issaievitx, 1918-2008",N Sol,Andanzas   677,9788483831076
Negres tempestes ,"Solana, Teresa",N Sol,La Negra (La Magrana)   6,9788482641379
Drecera al paradís ,"Solana, Teresa",N Sol,El Balancí   565,9788429760156
Matèria grisa ,"Solana, Teresa",N Sol,,9788416743001
El Tigre i la duquessa ,"Solé, Jordi (Escriptor)",N Sol,Clàssica   1252,9788466426190
El Fibló ,"Soler, Sílvia",N Sol,Clàssica (Columna)   1205,9788466424677
L'Home de la maleta ,"Solsona, Ramon",N Sol,A tot vent   551,9788475882208
L'Estiu que comença ,"Soler, Sílvia",N Sol,Ramon Llull (Planeta). Narrativa   135,9788497082570
Un Any i mig ,"Soler, Sílvia",N Sol,Clàssica (Columna)   1038,9788466419468
La Casa de les papallones : [un cas de Norma Forester] ,"Solana, Teresa",N Sol,La Negra (La Magrana)   39,9788482646701
Allò que va passar a Cardós ,"Solsona, Ramon",N Sol,A tot vent   655,9788475886305
La Fàbrica ,"Soler, Jordi (Activista)",N Sol,Desbordant lletres   34,9788417190880
Un Crim imperfecte ,"Solana, Teresa",N Sol,El Balancí   541,9788429758801
Petons de diumenge ,"Soler, Sílvia",N Sol,Clàssica (Columna)   773,9788466409650
L'Hora zen : un crim refinat ,"Solana, Teresa",N Sol,El Balancí   659,9788429768534
Instint de supervivència ,"Solé, Ramona",N Sol,Llibres del delicte   25,9788494582691
Mr. Rosenblum sueña en inglés ,"Solomons, Natasha",N Sol,Novela (Viceversa),9788492819294
Una Princesa en Berlín ,"Solmssen, Arthur R. G.",N Sol,Maxi (Tusquets)   23/1,9788483835609
Un Creuer fora de sèrie ,"Soler, Sílvia",N Sol,Clàssica (Columna)   893,9788466413503
La Felicitat d'un pollastre a l'ast ,"Soldado, Marta F.",N Sol,,9788494782923
Els Vells amics ,"Soler, Sílvia",N Sol,Clàssica (Columna)   1131,9788466421980
Farem castells de sorra ,"Soler, Blanca (Escriptora)",N Sol,Col·lecció Clàssica   1247,9788466425964
Clara y la penumbra ,"Somoza, José Carlos",N Som,Biblioteca José Carlos Somoza   5,8497939611
Estudio en negro ,"Somoza, José Carlos",N Som,Trilogía del señor X   [1],9788467056365
Somia Philip Marlowe amb xais elèctrics? : distopies criminals en temps de pandèmia , ,N Som,Crims.cat   60,9788418584145
Zigzag ,"Somoza, José Carlos",N Som,,8467216999
Laberint ,"Sönmez, Burhan",N Son,Antípoda   61,9788417339869
Demana-m'ho així i et diré que sí ,"Sopeña, Josepa Elena",N Sop,L'Eclèctica (Bromera)   275,9788490267431
"Triste, solitario y final ","Soriano, Osvaldo, 1943-1997",N Sor,Biblioteca Soriano,9788432212864
El Cuaderno de Noah ,"Sparks, Nicholas",N Spa,,9788499183954
El Desgel ,"Spit, Lize",N Spi,,9788416743537
Els Morts no enganyen ,"Spotswood, Stephen",N Spo,Univers noir,9788418375033
El Consentiment ,"Springora, Vanessa",N Spr,Narrativa   569,9788417879525
L'Auberge : un hostal en los Pirineos ,"Stagg, Julia",N Sta,,9788499182834
Ataduras ,"Starnone, Domenico",N Sta,,9788426405258
La Encuadernadora de libros prohibidos ,"Starling, Belinda",N Sta,Avenue,9788498677140
Hacedor de estrellas ,"Stapledon, Olaf",N Sta,,8445070509
La Cartuja de Parma ,"Stendhal, 1783-1842",N Ste,Grandes clásicos (Mondadori),9788439720843
Tres maneras de volcar un barco ,"Stewart, Chris",N Ste,,9788498382983
El Clon ,"Steel, Danielle",N Ste,Biblioteca Danielle Steel (Planeta DeAgostini),8439588976
El Extraño caso del Dr. Jekyll y Mr. Hyde ,"Stevenson, Robert Louis, 1850-1894",N Ste,Ilustrados (Nórdica),9788492683284
Ángulo de reposo ,"Stegner, Wallace",N Ste,Libros del Asteroide   55,9788492663088
Rescate ,"Steel, Danielle",N Ste,Biblioteca Danielle Steel (Debolsillo)   50,9788499082035
En lloc segur ,"Stegner, Wallace",N Ste,Libros del Asteroide. Català   111,9788493659721
"La Taza de oro : vida de sir Henry Morgan, bucanero, con ocasionales referencias a la historia ","Steinbeck, John, 1902-1968",N Ste,, 
Una Buena mujer ,"Steel, Danielle",N Ste,,9788401383847
La Perla ,"Steinbeck, John, 1902-1968",N Ste,,9788431634797
El Matrimoni de la senyoreta Buncle ,"Stevenson, D. E., 1892-1973",N Ste,El Cercle de Viena   59,9788483309162
Lecciones de juventud ,"Steel, Danielle",N Ste,,9788401025457
El Roig i el negre ,"Stendhal, 1783-1842",N Ste,,9788496863590
Las Uvas de la ira ,"Steinbeck, John, 1902-1968",N Ste,Andanzas   731,9788483831595
Imposible ,"Steel, Danielle",N Ste,Biblioteca Danielle Steel (Debolsillo)   56,9788499894249
La Casa ,"Steel, Danielle",N Ste,Best seller (Debolsillo)   245/52,9788499086620
Snow crash ,"Stephenson, Neal",N Ste,,8493066338
Criptonomicón ,"Stephenson, Neal",N Ste,Nova (Ediciones B),9788466658881
Seveneves = Siete evas ,"Stephenson, Neal",N Ste,Nova (Ediciones B),9788466658959
L'Expedició al baobab ,"Stockenström, Wilma",N Sto,Biblioteca mínima   216,9788477276203
La Ola : el experimento educativo que llegó demasiado lejos ,"Strasser, Todd",N Str,,9788418733031
Em dic Lucy Barton ,"Strout, Elizabeth",N Str,Mirmanda (Edicions de 1984)   150,9788415835844
Beckomberga : oda a mi familia ,"Stridsberg, Sara",N Str,Letras nórdicas   62,9788417651596
"Ai, William! ","Strout, Elizabeth",N Str,Mirmanda   215,9788418858048
Llum de febrer ,"Strout, Elizabeth",N Str,Mirmanda   203,9788416987818
Ciudad maldita ,"Strugatski, Arkadi, 1925-1991",N Str,,8493270288
Destinos truncados ,"Strugatski, Arkadi, 1925-1991",N Str,,8493270202
Stalker : pícnic extraterrestre ,"Strugatski, Arkadi, 1925-1991",N Str,Gigamesh breve,9788416035052
El Lunes empieza el sábado : cuento para jóvenes científicos ,"Strugatski, Arkadi, 1925-1991",N Str,Gigamesh breve   13,9788418701108
Qué difícil es ser dios ,"Strugatski, Arkadi, 1925-1991",N Str,Gigamesh breve   2,9788417507435
La Història d'en Shuggie Bain ,"Stuart, Douglas",N Stu,Mirmanda   210,9788416987955
Gambito de reina : misterios de Leonardo da Vinci ,"Stuckart, Diane A. S.",N Stu,Intriga histórica,9788493728366
L'Illa ,"Stuparich, Giani, 1891-1961",N Stu,Microclimes   1,9788495587602
