title,author,tag,series,isbn
Enseñar a investigar : libro del alumnado ,"Belmonte Nieto, Manuel",001 Bel,Investigación y recursos,9788427132177
Las Pseudociencias : ¡vaya timo! ,"Bunge, Mario, 1919-2020",001 Bun,¡Vaya timo!   14,9788492422241
Bulos científicos : de la tierra plana al coronavirus ,"López-Borrull, Alexandre",001 Lop,,9788441543072
"La Actitud científica : una defensa de la ciencia frente a la negación, el fraude y la pseudociencia ","MacIntyre, Lee",001 Mac,Colección Teorema. Serie mayor,9788437641317
Guía del universo para escépticos : cómo descubrir las certezas en un mundo repleto de falsedades ,"Novella, Steven",001 Nov,Paidós contextos,9788449336959
El Nacimiento del pensamiento científico : Anaximandro de Mileto ,"Rovelli, Carlo",001 Rov,,9788425440595
Wikipedia de la A a la W ,"Saorín, Tomás",001 Sao,El Profesional de la información (UOC)   8,9788490290125
Sólo se puede tener fe en la duda : pensamiento concentrado para una realidad dispersa ,"Wagensberg, Jorge, 1948-2018",001 Wag,Metatemas   142,9788490665015
Nueva historia universal de la destrucción de libros : de las tablillas sumerias a la era digital ,"Báez, Fernando",002 Bae,Imago mundi (Destino)   190,9788423344123
Barcelona i els llibres : els llibres de Barcelona, ,002 Bar,Els Monogràfics de Barcelona Metròpolis Mediterrània   7, 
Los Libros y la libertad ,"Lledó, Emilio",002 Lle,,9788490065686
Libros : dos mil años de historia ilustrada ,"Lyons, Martyn",002 Lyo,,9788497857369
Manual de ciencias de la información y documentación , ,002 Man,Ozalid,9788436825275
Pequeña historia del libro ,"Martínez de Sousa, José",002 Mar,Biblioteconomía y administración cultural   33,9788497043915
Quemar libros : una historia de la destrucción deliberada del conocimiento ,"Ovenden, Richard",002 Ove,Serie mayor,9788491993032
El Silencio de los libros ,"Steiner, George, 1929-2020",002 Ste,Biblioteca de ensayo (Siruela)   50,9788498414257
El Infinito en un junco : la invención de los libros en el mundo antiguo ,"Vallejo Moreu, Irene",002 Val,Biblioteca de Ensayo. Serie Mayor   105,9788417860790
La Biblia de los códigos secretos ,"Lehning, Hervé",003 Leh,,9788448027391
Caligrafía y lettering fáciles ,"Porte de Sainte-Marie, Marine",003 Por,,9788498746563
"Historia de la criptografía : cifras, códigos y secretos, de la antigua Grecia a la Guerra Fría ","Prieto, Manuel J.",003 Pri,,9788491647379
Iniciación a la caligrafía ,"Winters, Eleanor",003 Win,,9788498745436
Historia mundial de la comunicación ,"Perceval, José María",007 Per,Signo e imagen   164,9788437634180
El Desorden digital : guía para historiadores y humanistas ,"Pons, Anaclet",007 Pon,,9788432316425
La Cultura catalana ,"Aisa, Ferran",008 Ais,Base hispánica   27,9788493916138
La Música del mundo : de las verdades verdaderas a las razones razonables ,"Argüello, Javier",008 Arg,,9788481099416
El Atlas de las utopías, ,008 Atl,Atlas (Le Monde diplomatique en español),9788493807269
Breve historia de Occidente ,"Coffin, Judith G.",008 Cof,,9788408004868
Abrir en caso de apocalipsis : guía rápida para reconstruir la civilización ,"Dartnell, Lewis",008 Dar,Debate ciencia,9788499924724
La Idea de cultura : una mirada política sobre los conflictos culturales ,"Eagleton, Terry",008 Eag,Paidós contextos   140,9788449310966
Civilización : Occidente y el resto ,"Ferguson, Niall",008 Fer,Debate historia,9788499920665
Homo deus : breve historia del mañana ,"Harari, Yuval N.",008 Har,Debate historia,9788499926711
"El Noucentisme, 1906-1918 ", ,008 His,Història de la cultura catalana   7,8429741437
Resistència cultural i redreçament : 1939-1990 , ,008 His,Història de la cultura catalana   10,8429744800
"Naturalisme, positivisme i catalanisme : 1860-1890 ", ,008 His,Història de la cultura catalana   5,8429737952
L'Esplendor medieval : segles XI-XV , ,008 His,Història de la cultura catalana   1,8429745440
"Primeres avantguardes, 1918-1930 ", ,008 His,Història de la cultura catalana   8,8429742956
"El Modernisme, 1890-1906 ", ,008 His,Història de la cultura catalana   6,8429739289
Renaixement i barroc : segles XVI-XVII , ,008 His,Història de la cultura catalana   2,8429743499
El Set-cents , ,008 His,Història de la cultura catalana   3,8429742166
"Romanticisme i renaixença, 1800-1860 ", ,008 His,Història de la cultura catalana   4,8429740627
"República, autogovern i guerra : 1931-1939 ", ,008 His,Història de la cultura catalana   9,8429744010
Un Tiempo de rupturas : sociedad y cultura en el siglo XX ,"Hobsbawm, Eric J., 1917-2012",008 Hob,Serie mayor (Crítica),9788498925760
"Allò que cal saber sobre els àrabs : història, política, costums, sexe, tracte, etc. ","Jamal, Salah",008 Jam,De llevant a ponent (Flor del vent)   18,9788496495524
Japón y el mundo actual , ,008 Jap,Federico Torralba de Estudios de Asia Oriental   4,9788415274087
El Naufragio de las civilizaciones ,"Maalouf, Amin",008 Maa,,9788491816812
El Desajuste del mundo : cuando nuestras civilizaciones se agotan ,"Maalouf, Amin",008 Maa,Biblioteca de autor (Alianza),9788420664101
"El Cura y los mandarines : historia no oficial del Bosque de los Letrados : cultura y política en España, 1962-1996 ","Morán, Gregorio",008 Mor,Akal anverso,9788446041283
La Vía : para el futuro de la humanidad ,"Morin, Edgar",008 Mor,Estado y sociedad (Paidós)   186,9788449325939
Historia social de la Ilustración ,"Munck, Thomas",008 Mun,Serie mayor (Crítica),9788498925326
Repensar el mundo : 111 sorpresas del siglo XXI ,"Naím, Moisés",008 Nai,Debate sociedad,9788499926476
Guía de la Kultura ,"Pound, Ezra, 1885-1972",008 Pou,Entrelíneas,9788493898533
Los Años irresponsables : lo que va de siglo ,"Puig, Valentí",008 Pui,Atalaya (Península)   478,9788499421605
Desafíos del futuro : doce dilemas y tres instrumentos para afrontarlos en el duodécimo milenio ,"Puigdomènech Rosell, Pere",008 Pui,Drakontos,9788416771035
"Un Mundo robot : la mayor revolución jamás conocida que cambiará nuestros trabajos, nuestras vidas, y el destino de la humanidad ","Serrano, Javier",008 Ser,Divulgación científica (Guadalmazán),9788494778667
"Vidas sintéticas : una aproximación revolucionaria a la ciencia, la historia y la mente ","Solé, Ricard V.",008 Sol,Metatemas   120,9788483833926
"¿Cómo sobrevivir al mundo que viene? : un análisis de todos los cambios políticos, sociales y económicos de las próximas dos décadas y cómo preparase para ellos ","Sola, Antonio",008 Sol,,9788423432820
Vivir solos juntos ,"Todorov, Tzvetan, 1939-2017",008 Tod,,9788481099362
La Materia oscura : historia cultural de la mierda ,"Werner, Florian",008 Wer,Ensayo (Tusquets)   90,9788483834688
Manual de bibliografía ,"Reyes Gómez, Fermín de los",01 Rey,Castalia instrumenta   12,9788497403566
Clàssics per a la vida : una petita biblioteca ideal ,"Ordine, Nuccio",011 Ord,Biblioteca mínima   206,9788477275800
Diccionari de pseudònims usats a Catalunya i a l'emigració ,"Manent, Albert, 1930-2014",014 Man,,9788499753089
Qui era qui a l'Escola de Bibliotecàries : notícies biogràfiques del professorat (1915-1972) ,"Estivill i Rius, Assumpció",02 Est,Biblioteca universitaria (Universitat de Barcelona),9788447540150
Auxiliares y técnicos/as auxiliares de bibliotecas : corporaciones locales y universidades. Cuestionarios ,"Nogueira Dobao, Mercedes",02 Nog,,9788413277202
Biblioteconomía de guerrilla ,"Martínez-Cañadas, Evelio",021 Mar,Profesional de la información (UOC)   49,9788491805342
Libraries architecture, ,022 Lib,,9788417557386
Mejorar las búsquedas de información ,"Argudo, Sílvia",025 Arg,El Profesional de la información (UOC)   10,9788490291726
Política de desenvolupament de la col·lecció de la Gerència de Serveis de Biblioteques de la Diputació de Barcelona ,Barcelona. Diputació. Gerència de Serveis de Biblioteques,025 Bar,Documents de treball (Diputació de Barcelona). Recursos culturals   12,9788498034721
Etiquetar en la web social ,"Gómez Díaz, Raquel",025 Gom,El Profesional de la información (UOC)   9,9788490290132
La Lematización en español : una aplicacion para la recuperación de la información ,"Gómez Díaz, Raquel",025 Gom,Biblioteconomía y administración cultural   125,8497041860
Arquitectura de la información en entornos web ,"Pérez-Montoro Gutiérrez, Mario",025 Per,Biblioteconomía y administración cultural   216,9788497045032
Innovación en bibliotecas ,"Riaza, Maribel",025 Ria,El Profesional de la información (UOC)   26,9788490642511
Didáctica básica para la alfabetización informacional ,"Tarango, Javier",025 Tar,Biblioteca Alfagrama,9789871305698
Preservación digital ,"Térmens, Miquel",025 Ter,El Profesional de la información (UOC)   16,9788490298190
Biblioteques : de l'Escola de Bibliotecàries al llibre electrònic : Nadala 2015 , ,027 Bib,Nadala de la Fundació Lluís Carulla   49,9788472269972
La Hora del cuento en las bibliotecas : claves para su organización ,"Boher, Joan",027 Boh,El Profesional de la información (UOC)   43,9788490643976
La Biblioteca de Alejandría ,"Castro Leal, Leticia de",027 Cas,,9788493541125
Directrius de l'IFLA per al servei de les biblioteques públiques,Federació Internacional d'Associacions de Bibliotecaris i de Biblioteques,027 Fed,,9783110232264
Bibliotecas escolares : la necesaria transformación de un agente imprescindible ,"Jiménez Fernández, Concepción-María",027 Jim,El Profesional de la información (UOC)   22,9788490298862
Biblioteca pública : mientras llega el futuro ,"Juárez Urquijo, Fernando",027 Jua,El Profesional de la información (UOC)   31,9788490646663
"Bibliotecas escolares, lectura y educación ","Lage Fernández, Juan José",027 Lag,Recursos (Octaedro)   140,9788499213743
El Patrimoni bibliogràfic a les biblioteques públiques : un bé per descobrir ,"Rodrigo Fuentes, Victòria",027 Rod,,9788494401657
El Libro de los libros que debes leer para crecer ,"Baccalario, Pierdomenico",028 Bac,,9788491117339
Com crear un ambient lector a l'escola? ,"Baró, Mònica (Bibliotecària)",028 Bar,,9788494136115
Contra la lectura : [un ensayo dedicado a los lectores que no creen que los libros sean intocables] ,"Brottman, Mikita",028 Bro,Blackie Books   97,9788417059545
Clubes de lectura : obras en movimiento ,"Carreño, Óscar",028 Car,El Profesional de la información (UOC)   11,9788490292389
Laboratori lector : per entendre la lectura ,"Cassany, Daniel",028 Cas,Llibres Anagrama   52,9788433915603
Claves para promocionar la lectura en la red , ,028 Cla,Cómo leer,9788491712848
Cómo habituar al niño a leer : para que su hijo descubra el placer de la lectura desde la más temprana edad ,"Delahaie, Patricia",028 Del,,8486193893
Darse a la lectura ,"Gabilondo Pujol, Ángel",028 Gab,RBA narrativas,9788490061411
Guia pràctica per a fer fills lectors ,"Girbés Aparisi, Joan Carles",028 Gir,,9788496674509
El Mètode definitiu per tenir fills lectors : consells i receptes miraculoses que garanteixen l'èxit escolar ,"Girbés Aparisi, Joan Carles",028 Gir,,9788485557936
Este libro te alegrará la vida : 50 placeres íntimos de la lectura ,"Gray, Daniel",028 Gra,,9788434425842
Metamorfosis de la lectura ,"Gubern, Román",028 Gub,Argumentos (Anagrama)   410,9788433963093
La Magia de leer en voz alta : los beneficios intelectuales y emocionales de la narrativa oral en niños y adultos ,"Gurdon, Meghan Cox",028 Gur,,9788416720910
Leer hipertextos : del marco hipertextual a la formación del lector literario , ,028 Lee,Recursos (Octaedro)   134,9788499212906
El Arte de la lectura ,"Legouvé, Ernesto",028 Leg,Ensayo. Textos reunidos,9788492489411
La Lectura entre el paper i les pantalles ,"Lluch, Gemma",028 Llu,,9788497666312
El Sueño del Rey Rojo : lecturas y relecturas sobre las palabras y el mundo ,"Manguel, Alberto",028 Man,Alianza literaria,9788420608396
Qué vemos cuando leemos : una fenomenología con ilustraciones ,"Mendelsund, Peter",028 Men,,9788432225192
Preferiría no leer : valores  desgradables  de la lectura ,"Moreno, Víctor (Filòleg)",028 Mor,Pedagogía (Pamiela)   13,9788476819074
Cómo hacer lectores competentes : guía práctica : reflexiones y propuestas ,"Moreno, Víctor (Filòleg)",028 Mor,Pedagogía (Pamiela)   11,9788476816882
Como una novela ,"Pennac, Daniel",028 Pen,Argumentos (Anagrama)   137,9788433913678
Llegim? : com fer lectors entusiastes ,"Portell Rifà, Joan",028 Por,Crèixer (Abadia de Montserrat). Coneixements   5,9788498839265
"La Lectura en veu alta : el gust de llegir, el plaer d'escoltar ","Sota, Txell",028 Sot,,9788441224049
Manifest per la lectura ,"Vallejo Moreu, Irene",028 Val,Àncora   265,9788497103114
Código best seller : las lecturas apasionantes que han marcado nuestra vida ,"Vila-Sanjuán, Sergio",028 Vil,,9788484609582
"Lector, torna als llibres : el cervell lector en un món digital ","Wolf, Maryanne",028 Wol,Carta blanca   50,9788417998493
"Lector, vuelve a casa : cómo afecta a nuestro cerebro la lectura en pantallas ","Wolf, Maryanne",028 Wol,,9788423431335
"Cómo elaborar y presentar un proyecto de investigación, una tesina y una tesis ", ,029 Com,Metodologia (Universitat de Barcelona)   19,9788447535989
Cómo escribir un trabajo de fin de grado : algunas experiencias y consejos prácticos ,"González García, Juana María",029 Gon,,9788490770481
"Escriptura acadèmica : planificació, documentació, redacció, citació i models ","Lluch, Gemma",029 Llu,Manuals (Universitat Oberta de Catalunya)   239,9788490644430
Com escriure i presentar el millor treball acadèmic : guia pràctica per a estudiants i professors ,"Sancho, Jordi",029 San,,9788497665629
Enciclopèdia catalana bàsica : A/Z , ,03 Enc,,8440663838
El Nuevo pequeño gran libro de la ignorancia ,"Lloyd, John",03 Llo,Paidós contextos,9788449327186
Mentor interactivo : enciclopedia temática del estudiante , ,03 Men,,9788449444401
"Els Nens pregunten, els Nobel responen ", ,03 Nen,,9788496863798
Mis ideas y opiniones ,"Einstein, Albert, 1879-1955",04 Ein,Conjeturas (Antoni Bosch),9788495348593
La Revista Laye : estudio y antología ,"Bonet, Laureano",05 Bon,Nexos (Península)   33,8429728392
L'Esquella de la Torratxa : 60 anys d'història catalana (1879-1939) ,"Capdevila, Jaume",05 Cap,,9788415232582
Los 70 a destajo : Ajoblanco y libertad ,"Ribas Sanpons, José",05 Rib,Divulgación (Destino),9788423344475
Cómo visitar un museo de arte : y convertir tu visita en una experiencia gratificante ,"Idema, Johan",069 Ide,,9788425229367
El Último que apague la luz : sobre la extinción del periodismo ,"Bassets, Lluís",07 Bas,Pensamiento (Taurus),9788430602094
Cu-cut! : sàtira política en temps trasbalsats : 1902-1912 , ,07 Cu c,,9788415232193
Periodisme en la guerra civil (1936-39) ,"Figueres, Josep M.",07 Fig,Biblioteca Serra d'Or   431,9788498833126
Periodisme sota sospita : 25 anys entre la censura i la llei de premsa ,"Aragó, Narcís-Jordi",070 Ara,Abans d'ara (A Contra Vent)   30,9788415720065
"Ética del periodismo : la defensa del interés público por medio de una información libre, veraz y justa ","Bilbeny, Norbert",070 Bil,Periodismo activo   2,9788447536405
La Brecha de las noticias : la divergencia entre las preferencias informativas de los medios y el público ,"Boczkowski, Pablo J.",070 Boc,,9789875002135
Walter Lippmann : el fantasma de l'opinió pública ,"Canosa Farran, Francesc",070 Can,Vull saber   147,9788490648483
Internet para periodistas : kit de supervivencia para la era digital ,"Cobo, Silvia",070 Cob,Manuales (Universitat Oberta de Catalunya)   220,9788497889889
Ataque al imperio : la historia del periodismo espía que atrapó a Rupert Murdoch ,"Davies, Nick",070 Dav,,9788490564165
Periodistes indòmits : [Guerra Civil i exili] ,"Figueres, Josep M.",070 Fig,Base històrica   140,9788416587469
Història del periodisme de Catalunya , ,070 His,,9788460843535 (o. c.)
Història del periodisme de Catalunya , ,070 His,,9788460843535 (o. c.)
Història del periodisme de Catalunya , ,070 His,,9788460843535 (o. c.)
¿Para qué servimos los periodistas? (hoy) ,"Izquierdo, Jose María",070 Izq,Los Libros de la Catarata   434,9788483197998
El Fin de los medios de comunicación de masas : ¿como serán las noticias del futuro? ,"Jarvis, Jeff",070 Jar,,9788498754018
El Director : secretos e intrigas de la prensa narrados por el exdirector de El Mundo ,"Jiménez, David (Periodista)",070 Jim,,9788417678081
El Poder de la mentida : manipular la veritat per construir relats ,"Julibert, Joan",070 Jul,Periodistes (Saldonar),9788417611002
No abarco el mundo ,"Kapuscinski, Ryszard, 1932-2007",070 Kap,RBA temas de actualidad,9788490061213
Newpaper : cómo la revolución digital transforma la prensa ,"Montagut, Albert",070 Mon,,9788423412945
Reset : cómo concluir la revolución digital del periodismo ,"Montagut, Albert",070 Mon,,9788418526367
Periodismo deportivo de calidad : propuesta de un modelo de libro de estilo panhispánico para informadores deportivos ,"Rojas Torrijos, José Luis",070 Roj,Fragua comunicación   110,9788470744594
El Periodisme després de Twitter : notes per a repensar un ofici ,"Sáez, Albert",070 Sae,Tres i quatre. La unitat   206,9788475029665
Les Veus de la influència : 15 entrevistes a periodistes catalans ,"Vall, Toni",070 Val,País (Deu i Onze)   4,9788493940249
La Banda que escribía torcido : una historia del nuevo periodismo ,"Weingarten, Marc",070 Wei,,9788494034879
"Et diran que llegeixis, Bernat : mig segle de literatura catalana per a joves (1960-2010) ","Aloy, Josep Maria, 1948-2020",087.1 Alo,Idees (Albí)   20,9788489751606
La Verdadera historia de los cuentos populares : el Pulgarcito para el siglo XXI ,"Álvarez, Blanca",087.1 Alv,,9788471126429
Inolvidables : grandes autoras que escriben para los pequeños ,"Berg-Ehlers, Luise",087.1 Ber,,9788417108397
Psicoanálisis de los cuentos de hadas ,"Bettelheim, Bruno, 1903-1990",087.1 Bet,Booket   3306,9788408007050
1001 libros infantiles que hay que leer antes de crecer ,"Blake, Quentin",087.1 Bla,,9788425344190
Contes màgics de la Mediterrània ,"Cendra i Bertran, Montserrat",087.1 Cen,Contes populars (Farell)   4,9788492811205
Introducción a la literatura infantil y juvenil actual ,"Colomer, Teresa",087.1 Col,"Educar, instruir",9788497566964
Cuentos para enseñar a tus hijos a entender el divorcio , ,087.1 Cue,El Niño y su mundo (Zenith),9788408155614
El Arte de contar cuentos a los niños ,"Fortún, Elena, 1886-1952",087.1 For,Biblioteca Elena Fortún,9788416981328
Contes per educar infants feliços ,"Ibarrola, Begoña",087.1 Iba,,9788466140003
Cuentos para sentir : educar las emociones ,"Ibarrola, Begoña",087.1 Iba,Para padres y maestros,8434894122
Taller de cuentacuentos : guía para ser un buen narrador de cuentos infantiles ,"Lavilla, Pepa",087.1 Lav,Talleres (Alba),9788484287421
"La Literatura per a infants i joves en català : anàlisi, gèneres i història ","Lluch, Gemma",087.1 Llu,Essencial (Bromera)   15,9788490260982
Més contes per favor! : guia pràctica per a contar històries ,"Lluch, Gemma",087.1 Llu,Didàctiques (Bromera)   4,9788490262030
Siete cuentos para crecer : 49 dinámicas para el desarrollo infantil : [de 6 a 11 años] ,"Maestre Montes, Maria del Carmen",087.1 Mae,Recursos (Octaedro)   183,9788499219806
Una Casa de palabras : en torno a los cuentos maravillosos ,"Martín Garzo, Gustavo",087.1 Mar,Travesía (Océano),9786074007572
Mil anys de contes d'animals , ,087.1 Mil,,8447907732
Mil anys de contes del mar , ,087.1 Mil,,8447905837
Los Secretos del cuentacuentos ,"Montero, Beatriz",087.1 Mon,Talleres (CSS),9788498425901
Les Heroïnes contraataquen : models literaris contra l'universal masculí a la literatura infantil i juvenil ,"Olid, Bel",087.1 Oli,Argent viu   112,9788499751122
De Robinson Crusoe a Peter Pan : un cànon de literatura juvenil ,"Pagès, Vicenç, 1963-2022",087.1 Pag,Aula (Educaula)   19,9788415192206
El Gran libro de los cuentos ilustrados ,"Picaud, Carine",087.1 Pic,,9788497858908
La Brúixola dels conta-contes : guia pràctica per a explicar contes amb èxit ,"Recasens, Janet",087.1 Rec,Créixer (Abadia de Montserrat)   3,9788498838299
Gramática de la fantasía : introducción al arte de inventar historias ,"Rodari, Gianni, 1920-1980",087.1 Rod,Booket   9069,8484531643
Desembalo mi biblioteca : el arte de coleccionar ,"Benjamin, Walter, 1892-1940",09 Ben,Centellas (Olañeta)   52,9788497167840
Seis semanas con los filósofos griegos ,"Gaspari, Ilaria",1 --/03  Gas,,9788426408280
Los Filósofos presocráticos : historia crítica con selección de textos ,"Kirk, G. S.",1 --/03  Kir,Grandes obras de la cultura (Gredos),9788424935672
Introducción a la filosofía  presocrática  ,"Laks, André",1 --/03  Lak,Biblioteca de la nueva cultura,9788424917302
Sabios y necios : una aproximación a la filosofía helenística ,"Mas, Salvador",1 --/03  Mas,,9788420648286
Saviesa grega arcaica ,"Pórtulas, Jaume",1 --/03  Por,Summa aetatis   1,9788492405404
Los Podcasts de Platón : guía de los antiguos para los modernos ,"Vernon, Mark",1 --/03  Ver,,9788420653037
Filosofía de la imaginación : Averroes y el averroismo ,"Coccia, Emanuele",1 04/14  Coc,Filosofía e historia (Hidalgo),9789871156924
El Renaixement : alba de la modernitat ,"Brocà, Salvador de",1 15/17  Bro,Escriny   4,9788493916947 (Obrador Edèndum)
Una Revolución de la mente : la ilustración radical y los orígenes intelectuales de la democracia moderna ,"Israel, Jonathan I.",1 15/17  Isr,Libros abiertos (Laetoli)   19,9788492422302
La Ilustración : una guía gráfica : todo lo que necesitas saber en 100 imágenes ,"Spencer, Lloyd",1 15/17  Spe,Para todos (Paidós)   21,9788449324659
Tratado de filosofía ,"Bunge, Mario, 1919-2020",1 19  Bun,,9788497842020 (o.c.)
Tratado de filosofía ,"Bunge, Mario, 1919-2020",1 19  Bun,,9788497842020 (o.c.)
Tratado de filosofía ,"Bunge, Mario, 1919-2020",1 19  Bun,,9788497842020 (o.c.)
Tratado de filosofía ,"Bunge, Mario, 1919-2020",1 19  Bun,,9788497842020 (o.c.)
"Cómo ser un existencialista : o cómo ser auténtico, tomar el control y dejar de poner excusas ","Cox, Gary",1 19  Cox,,9788434469815
Camus vs. Sartre : entre la llibertat i la justícia ,"Gelonch i Viladegut, Antoni",1 19  Gel,Viena assaig   17,9788418908446
Lo que piensan los filósofos , ,1 19  Lo q,Paidós contextos   208,9788449325434
Realidad sin velos , ,1 19  Rea,Logoi,9788475846330
Filosofia per sortir de casa ,"Bilbeny, Norbert",1 Bil,,9788466424943
Cómo ser un mono que teclea sin parar y otros 34 usos prácticos de la filosofía ,"Cave, Peter",1 Cav,Cómo saber,9788434413306
Historia de las filosofías materialistas ,"Charbonnat, Pascal",1 Cha,,9788492616619
101 experiencias de filosofía cotidiana ,"Droit, Roger-Pol",1 Dro,Blackie Books   52,9788494167676
Futurama y la filosofía , ,1 Fut,Blackie books   124,9788417552329
Itineraris interiors , ,1 Iti,Assaig   53,9788417796051
Filosofía ,"Law, Stephen",1 Law,Guías visuales Espasa,9788467026061
50 teorías filosóficas intelectualmente estimulantes ,"Loewer, Barry",1 Loe,Guía breve (Blume),9788498014402
Antimanual de filosofía : lecciones socráticas y alternativas ,"Onfray, Michel",1 Onf,EDAF ensayo   19,8441416826
Pensa : manifest inquietant a favor de la ignorància ,"Orteu, Francesc",1 Ort,,9788416673346
"Filosofía : mundo, mente y cuerpo, conocimiento, fe, ética y estética, sociedad ","Papineau, David",1 Pap,,9788480767897
Pensar la filosofía hoy , ,1 Pen,,9788492751976
100 preguntes filosòfiques : per satisfer les ments inquietes ,"Quintana, Oriol",1 Qui,De cent en cent   43,9788490345665
La Vida también se piensa ,"Seguró, Miquel",1 Seg,,9788425441325
Desayuno con Sócrates : la filosofía del día a día ,"Smith, Robert Rowland",1 Smi,,9788467032567
"Los Superhéroes y la filosofía : la verdad, la justicia y el modo socrático ", ,1 Sup,Blackie Books   12,9788493827212
Diccionario de citas de filosofía : 12 conceptos fundamentales en sus textos , ,1(03) Dic,Diccionarios (Maia),9788492724208
Diccionario de filosofía ,"Ferrater Mora, Josep, 1912-1991",1(03) Fer,Ariel filosofía,9788434405400 (o.c.)
Diccionario de filosofía ,"Ferrater Mora, Josep, 1912-1991",1(03) Fer,Ariel filosofía,9788434405400 (o.c.)
Diccionario de filosofía ,"Ferrater Mora, Josep, 1912-1991",1(03) Fer,Ariel filosofía,9788434405400 (o.c.)
Diccionario de filosofía ,"Ferrater Mora, Josep, 1912-1991",1(03) Fer,Ariel filosofía,9788434405400 (o.c.)
Cómo piensa el mundo : una historia global de la filosofía ,"Baggini, Julian",1(09) Bag,Paidós contextos,9788449335839
"Impertinentes : el desgarro de pensar : Tomás de Aquino, Aristóteles, San Agustín, Bergman, Camus, Descartes, Freud, Génesis, Heidegger, Husserl, Kant, Lévy-Strauss, Marx, Nietzsche, San Pablo, Platón, Sartre, Shakespeare, Unamuno, Wittgenstein, San Juan de la Cruz ","Fullat, Octavi",1(09) Ful,Pedagogías UB,9788447539840
Historia de la filosofía ,"Hirschberger, Johannes",1(09) Hir,,9788425425035 (vol. 1)
Historia de la filosofía ,"Hirschberger, Johannes",1(09) Hir,,9788425425035 (vol. 1)
Historia de la filosofía ,"Hirschberger, Johannes",1(09) Hir,,9788425425035 (vol. 1)
La Pasión de la mente occidental : para una comprensión de las ideas que han configurado nuestra visión del mundo ,"Tarnas, Richard",1(09) Tar,Memoria mundi   26,9788493576318
Filosofar : [pensar desde Cataluña] , ,1(46.71) Fil,,9788469775714
El Pensament català ,"Fossas, Xavier",1(46.71) Fos,Menjavents   92,9788415081609
Ética para Alícia : filosofía oriental para jóvenes de hoy ,"Racionero, Luis, 1940-2020",1(5) Rac,,9788490065709
La Importancia de vivir ,"Lin, Yutang",1(51) Lin,Pocket Edhasa   44,9788435016674
Filosofías de la India ,"Zimmer, Heinrich Robert",1(54) Zim,Ensayo (Sexto Piso),9788496867642
La Voluntat de comprendre : filosofia en minúscula ,"Antich, Xavier",1(Ant),,9788494468056
Ética a Nicómaco ,Aristòtil,1(Ari),Biblioteca básica Gredos   37,9788424913335
La Política ,Aristòtil,1(Ari),Austral   239,8423902390
Poètica ,Aristòtil,1(Ari),El Far (Angle)   29,9788416139897
La Prudencia en Aristóteles ,"Aubenque, Pierre",1(Ari) Aub,Mitma   12,9789871501212
El Sentido de la realidad : sobre las ideas y su historia ,"Berlin, Isaiah, 1909-1997",1(Ber),Taurus filosofía,9788430618569
Las Ideas políticas en la era romántica : surgimiento e influencia en el pensamiento moderno ,"Berlin, Isaiah, 1909-1997",1(Ber),Sección de obras de historia,9786071616401
Paisajes sublimes : el hombre ante la naturaleza salvaje ,"Bodei, Remo",1(Bod),Biblioteca de ensayo (Siruela)   73,9788498414080
La Consolación de la filosofía ,Boeci,1(Boe),Clásicos de Grecia y Roma (Alianza),9788491041870
"Giordano Bruno : universo infinito, unión con Dios, perfección del hombre ","Granada Martínez, Miguel Ángel",1(Bru) Gra,,8425422248
"La Felicidad, desesperadamente ","Comte-Sponville, André",1(Com),Biblioteca André Comte-Sponville   1,9788449324703
Menú degustación : la ocupación del filósofo ,"Cruz, Manuel",1(Cru),Atalaya (Península)   369,9788483078976
Discurso del método   Meditaciones metafísicas ,"Descartes, René, 1596-1650",1(Des),Austral   166,8423919668
Tratado de la barbarie de los pueblos civilizados ,"Diderot, Denis, 1713-1784",1(Did),,9788493914325
Elogio de la locura ,"Erasmus, Desiderius, ?-1536",1(Era),Humanidades (Alianza),9788420653372
Éloge de la folie   suivi de la Lettre d'Érasme à Dorpius ,"Erasmus, Desiderius, ?-1536",1(Era),GF (Flammarion)   36,9782081390720
Guía perversa del viajero en el tiempo ,"Fernández Gonzalo, Jorge",1(Fer),Wunderkammer   6,9788494448485
La Expresión y lo interno ,"Finkelstein, David H.",1(Fin),Pensamiento (KRK),9788483672594
Freud : el crepúsculo de un ídolo ,"Onfray, Michel",1(Fre) Onf,Pensamiento (Taurus),9788430608133
Un Món comú ,"Garcés, Marina",1(Gar),,9788418705236
Nova il·lustració radical ,"Garcés, Marina",1(Gar),Nous quaderns Anagrama   5,9788433916150
Fora de classe : textos de filosofia de guerrilla ,"Garcés, Marina",1(Gar),,9788494468070
Ingenuidad aprendida ,"Gomá Lanzón, Javier",1(Gom),,9788481099195
Todo a mil : 33 microensayos de filosofía mundana ,"Gomá Lanzón, Javier",1(Gom),,9788481099751
El Poder de las ideas : claves para entender el siglo XXI ,"Grayling, Anthony C.",1(Gra),,9788434469136
Vida y pensamiento de Antonio Gramsci : 1926-1937 ,"Vacca, Giuseppe",1(Gra) Vac,Akal universitaria. Serie Historia contemporánea   374,9788446047902
La Societat del cansament ,"Han, Byung-Chul",1(Han),,9788425436758
Elementos filosóficos   Del ciudadano ,"Hobbes, Thomas, 1588-1679",1(Hob),Filosofía política (Hydra),9789872486631
